Rare Genus,Kingdom,Phylum,Class,Order,Family,Genus
Candidatus Nitrososphaera,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera
Methanobacterium,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
Methanobrevibacter,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
Methanosphaera,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanocorpusculum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Methanosaeta,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta
Methanosarcina,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
vadinCA11,Archaea,Euryarchaeota,Thermoplasmata,E2,[Methanomassiliicoccaceae],vadinCA11
Deinococcus,Bacteria,[Thermi],Deinococci,Deinococcales,Deinococcaceae,Deinococcus
Edaphobacter,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter
Granulicella,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella
Terriglobus,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus
Planktophila,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,ACK-M1,Planktophila
Actinomyces,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
Brevibacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium
Actinotalea,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Actinotalea
Corynebacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
Brachybacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium
Dermacoccus,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus
Dietzia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia
Gordonia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia
Kineosporia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineosporia
Agromyces,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces
Candidatus Aquiluna,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Candidatus Aquiluna
Candidatus Rhodoluna,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Candidatus Rhodoluna
Clavibacter,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter
Cryocola,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryocola
Leucobacter,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter
Arthrobacter,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
Kocuria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria
Rothia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia
Mycobacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
Rhodococcus,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus
Aeromicrobium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium
Friedmanniella,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Friedmanniella
Kribbella,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella
Nocardioides,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides
Cellulosimicrobium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium
Propionibacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
Actinomycetospora,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Actinomycetospora
Amycolatopsis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
Pseudonocardia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia
Streptomyces,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Actinomadura,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura
Williamsia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Williamsiaceae,Williamsia
Adlercreutzia,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Adlercreutzia
Collinsella,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Enterococcus,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enterococcus
Rubrobacter,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter
Gaiella,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
CL0-1,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,CL0-1
Sediminibacterium,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Sediminibacterium
Aquirestis,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,Aquirestis
[Prevotella],Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella]
CF231,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],CF231
YRC22,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],YRC22
5-7N15,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,5-7N15
Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Dysgonomonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas
Paludibacter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
Prevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Candidatus Cardinium,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,[Amoebophilaceae],Candidatus Cardinium
Flectobacillus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flectobacillus
Hymenobacter,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter
Spirosoma,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma
Chryseobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium
Cloacibacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Cloacibacterium
Wautersiella,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Wautersiella
Fluviicola,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
Flavobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Myroides,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides
Mucilaginibacter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
Pedobacter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Sphingobacterium,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
SHD-231,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,SHD-231
T78,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,T78
Dolichospermum,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Dolichospermum
Woronichinia,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Gomphosphaeriaceae,Woronichinia
Pseudanabaena,Bacteria,Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena
Synechococcus,Bacteria,Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Synechococcus
Exiguobacterium,Bacteria,Firmicutes,Bacilli,Bacillales,[Exiguobacteraceae],Exiguobacterium
Bacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Paenibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Paenibacillus
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Thermoactinomyces,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces
Abiotrophia,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia
Alloiococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Alloiococcus
Atopostipes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Atopostipes
Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Pediococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
Leuconostoc,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
Weissella,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella
Lactococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Turicibacter,Bacteria,Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacter
Mogibacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,[Mogibacteriaceae],Mogibacterium
Anaerococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus
Finegoldia,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Finegoldia
Gallicola,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Gallicola
GW-34,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],GW-34
Peptoniphilus,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Peptoniphilus
Christensenella,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Oxobacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Oxobacter
SMB53,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53
Acetobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium
Anaerofustis,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis
[Ruminococcus],Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus]
Blautia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Butyrivibrio,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium
Coprococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus
Dorea,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
Lachnospira,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira
Pseudobutyrivibrio,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio
Roseburia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Shuttleworthia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia
rc4-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,rc4-4
[Clostridium],Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,[Clostridium]
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium
Oscillospira,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira
Ruminococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Acidaminococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus
Megamonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megamonas
Phascolarctobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium
Succiniclasticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Succiniclasticum
vadinHB04,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,vadinHB04
Veillonella,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
Thermacetogenium,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium
Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Clostridium
Coprobacillus,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus
Nitrospira,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
Nostocoida,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,Nostocoida
A17,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,A17
Pirellula,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula
Planctomyces,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces
Brevundimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Caulobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Aurantimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas
Camelimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Camelimonas
Ochrobactrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
Devosia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
Hyphomicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Pedomicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
Rhodoplanes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes
Methylobacterium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Methylosinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylosinus
Aminobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
