sample-id	study
A1-S1	A
A2-S2	A
A3-S3	A
A4-S4	A
A5-S5	A
A6-S6	A
A8-S8	A
A9-S9	A
B1-S10	A
B2-S11	A
B3-S12	A
B4-S13	A
B5-S14	A
B6-S15	A
B7-S16	A
B8-S17	A
B9-S18	A
C1-S19	A
C2-S20	A
C3-S21	A
C4-S22	A
C5-S23	A
C6-S24	A
C7-S25	A
C8-S26	A
D1-S28	A
D2-S29	A
D3-S30	A
D4-S31	A
D5-S32	A
D6-S33	A
D8-S35	A
D9-S36	A
E1-S37	A
E2-S38	A
E3-S39	A
E4-S40	A
E5-S41	A
E6-S42	A
E7-S43	A
E8-S44	A
F1-S45	A
F2-S46	A
F3-S47	A
F4-S48	A
F6-S50	A
F8-S52	A
G1-S53	A
G2-S54	A
G3-S55	A
G4-S56	A
G5-S57	A
G6-S58	A
G7-S59	A
G8-S60	A
H1-S61	A
H2-S62	A
H3-S63	A
H4-S64	A
H5-S65	A
H6-S66	A
H7-S67	A
H8-S68	A
DRR061333	B
DRR061334	B
DRR061335	B
DRR061336	B
DRR061337	B
DRR061338	B
DRR061339	B
DRR061340	B
DRR061341	B
DRR061342	B
DRR061343	B
DRR061344	B
DRR061345	B
DRR061346	B
DRR061347	B
DRR061348	B
DRR061349	B
DRR061350	B
DRR061351	B
DRR061352	B
DRR061353	B
DRR061354	B
DRR061355	B
DRR061356	B
DRR061357	B
DRR061358	B
DRR061359	B
DRR061360	B
DRR061361	B
DRR061362	B
DRR061363	B
DRR061364	B
DRR061365	B
DRR061366	B
DRR061367	B
DRR061368	B
SRR5008279	C
SRR5008280	C
SRR5008281	C
SRR5008282	C
SRR5008283	C
SRR5008284	C
SRR5008285	C
SRR5008286	C
SRR5008287	C
SRR5008288	C
SRR5008289	C
SRR5008290	C
SRR5008291	C
SRR5008292	C
SRR5008293	C
SRR5008294	C
SRR5008295	C
SRR5008296	C
SRR5008297	C
SRR5008298	C
SRR5008299	C
SRR5008300	C
SRR5008301	C
SRR5008302	C
SRR5008303	C
SRR5008304	C
SRR5008305	C
SRR5008306	C
SRR5008307	C
SRR5008308	C
SRR5008309	C
SRR5008310	C
SRR5008311	C
SRR5008312	C
SRR5008313	C
SRR5008314	C
SRR5008315	C
SRR5008316	C
SRR5008317	C
SRR3181576	C
SRR3181577	D
SRR3181578	D
SRR3181579	D
SRR3181580	D
SRR3181581	D
SRR3181582	D
SRR3181583	D
SRR3181584	D
SRR3181585	D
SRR3181586	D
SRR3181587	D
SRR3181588	D
SRR3181589	D
SRR3181590	D
SRR3181591	D
SRR3181592	D
SRR3181593	D
SRR3181594	D
SRR3181595	D
